S/NO.,gage_id,gage_desc,gage_brand,gage_rance,gage_slno,gage_calib_metho,tolerance,calib_date,calib_interval,calb_interval_unit,calib_due_date,clib_agency,calib_cert_no,gage_location,remarks,comments,master_gage_slno,master_gage_cert_no,master_gage_valid_date,temp1,temp2
149,M-0154,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"2-1/2"" - 8 UN - 2B",#3,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-07,1,Years,2023-05-07,TRESCAL,SALDM/0699/8/22,QC BAY C TROLLY 1 L2,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-23
150,M-0156,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"2-5/8"" - 8 UN - 2B",#2,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/51/22,QC GAUGE ROOM - D,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
151,M-0158,PLUG GAUGE,PMC MERCURY,"1/8"" - 27 NPT L1",#1,QCD/TRSG/PROCEDURE 030 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-29,1,Years,2022-11-29,TRESCAL,SALDM/1918/11/21,QC GAUGE ROOM - I,FALSE,,,,,2022-11-15,2022-11-15
152,M-0159,"PLUG GAUGE:1/4"" - 18 NPT L1",,"1/4"" - 18 NPT L1",#2,,"± 0.001""",2020-11-02,1,Years,2021-11-02,,,M/S GAUGE ROOM H38,HOLD,,,,,2022-11-15,2021-10-19
153,M-0160,PLUG GAUGE,PMC MERCURY,"3/8"" - 18 NPT L1",#3,"QCD/TRSG/PROCEDURE 030 / TRSG/QM/001/20 / 
ANSI/ASME B1.20.5-1991","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-09,1,Years,2023-05-09,TRESCAL,SALDM/0699/17/22,QC GAUGE ROOM - I,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-25
154,M-0163,PLUG GAUGE,PMC MERCURY,"1-1/4"" - 11.5 NPT L1",#2,QCD/TRSG/PROCEDURE 030 /  TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-29,1,Years,2022-11-29,TRESCAL,SALDM/1918/2/21,QC GAUGE ROOM - I,FALSE,,,,,2022-11-15,2022-11-15
155,M-0165,PLUG GAUGE,PMC MERCURY,"2"" - 11.5 NPT L1",#3,QCD/TRSG/PROCEDURE 030 /  TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-29,1,Years,2022-11-29,TRESCAL,SALDM/1918/6/21,M/S GAUGE ROOM H41,FALSE,,,,,2022-11-15,2022-11-15
156,M-0166,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1/4"" - 20 UNC - 2B",#3,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-04,1,Years,2023-05-04,TRESCAL,SALDM/0675/46/22,QC GAUGE ROOM - I,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-20
157,M-0167,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,5/16'' - 18 UNC - 2B,#3,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-04,1,Years,2023-05-04,TRESCAL,SALDM/0675/42/22,QC GAUGE ROOM - I,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-20
158,M-0169,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"3/8"" - 16 UNC - 2B",#2,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/60/22,QC BAY C TROLLY 1 L3,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
159,M-0170,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"7/16"" - 14 UNC - 2B",#1,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/61/22,M/S GAUGE ROOM H26,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
160,M-0179,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"1-1/4"" - 7 UNC - 2B",#1,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/7/22,M/S GAUGE ROOM H12,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-16
161,M-0212,EXTERNAL MICROMETER,MITUTOYO,"36"" - 42""",21011718,MP-DIM-01 (T) REV:0,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-05,1,Years,2023-08-05,CALTEK,CTJ22-4963 / MPD 3081M-22,M/S RED CABINET,TRUE,,"3008
2516
3011
3010
LL002666
PBU629","SG 3367
SSG 3378
SG 3375
SG3372
MDL221185-1
MD 269M-22","20.06.2025
22.06.2025
22.06.2025
22.06.2025
29.04.2024
03.06.2023",2022-11-15,2023-07-22
162,M-0213,EXTERNAL MICROMETER,MITUTOYO,"40"" - 44""",42002651,MP-DIM-01 (T) REV:0,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-05,1,Years,2023-08-05,CALTEK,CTJ22-4963 / MPD 3082M-22,M/S RED CABINET,TRUE,,"3008
2516
3011
3010
LL002666
PBU629","SG 3367
SSG 3378
SG 3375
SG3372
MDL221185-1
MD 269M-22","20.06.2025
22.06.2025
22.06.2025
22.06.2025
29.04.2024
03.06.2023",2022-11-15,2023-07-22
163,M-0214,EXTERNAL MICROMETER,MITUTOYO," 44"" - 48""",42002054,MP-DIM-01 (T) REV:0,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-05,1,Years,2023-08-05,CALTEK,CTJ22-4963 / MPD 3083M-22,M/S RED CABINET,TRUE,,"3008
2516
3011
3010
LL002666
PBU629","SG 3367
SSG 3378
SG 3375
SG3372
MDL221185-1
MD 269M-22","20.06.2025
22.06.2025
22.06.2025
22.06.2025
29.04.2024
03.06.2023",2022-11-15,2023-07-22
164,M-0215,EXTERNAL MICROMETER,MITUTOYO,"48"" - 52""",42002172,MP-DIM-01 (T) REV:0,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-05,1,Years,2023-08-05,CALTEK,CTJ22-4963 / MPD 3084M-22,M/S RED CABINET,TRUE,,,,,2022-11-15,2023-07-22
165,M-0216,EXTERNAL MICROMETER,MITUTOYO," 52"" - 56""",42002445,MP-DIM-01 (T) REV:0,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-05,1,Years,2023-08-05,CALTEK,CTJ22-4963 / MPD 3085M-22,M/S RED CABINET,TRUE,,,,,2022-11-15,2023-07-22
166,M-0217,EXTERNAL MICROMETER,MITUTOYO,"56"" - 60""",42002451,MP-DIM-01 (T) REV:0,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-05,1,Years,2023-08-05,CALTEK,CTJ22-4963 / MPD 3086M-22,M/S RED CABINET,TRUE,,,,,2022-11-15,2023-07-22
167,M-0218,EXTERNAL MICROMETER,MITUTOYO," 60"" - 64""",42002618,MP-DIM-01 (T) REV:0,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-05,1,Years,2023-08-05,CALTEK,CTJ22-4963 / MPD 3087M-22,M/S RED CABINET,TRUE,,,,,2022-11-15,2023-07-22
168,M-0219,EXTERNAL MICROMETER,MITUTOYO,"64"" - 68""",42002489,MP-DIM-01 (T) REV:0,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-05,1,Years,2023-08-05,CALTEK,CTJ22-4963 / MPD 3088M-22,M/S RED CABINET,TRUE,,,,,2022-11-15,2023-07-22
169,M-0220,CAMLOCK MICROMETER,MITUTOYO," 1"" - 2""",K132901,MP-DIM-01 (T) REV:0,BS 1734 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-08,1,Years,2023-08-08,CALTEK,CTJ22-5234 / MD 3344M-22,M/S GAUGE ROOM F1,TRUE,,"3010
3011
LL002666
010109","SG 3372
SG 3375
MDL221185-1
OPC2205-0472-1/2","22.06.2025
22.06.2025
29.04.2024
04.07.2024",2022-11-15,2023-07-25
170,M-0220A,CAMLOCK MICROMETER SETTING STANDARD,MITUTOYO,"2""",A142891,QCD/TRSG/PROCEDURE 005 /  TRSG/QM/001/20,BS 1734 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2021-07-31,1,Years,2022-07-31,TRESCAL,SALDM/1034/1/21,M/S GAUGE ROOM F1,FALSE,,,,,2022-11-15,2022-07-17
171,M-0221,CAMLOCK MICROMETER,GAGE MAKER,"2"" - 3""",IA02DB0001,MP-DIM-01 (T) REV:0,BS 1734 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-08,1,Years,2023-08-08,CALTEK,CTJ22-5234 / MD 3345M-22,M/S GAUGE ROOM F2,TRUE,,"3010
3011
LL002666
010109","SG 3372
SG 3375
MDL221185-1
OPC2205-0472-1/2","22.06.2025
22.06.2025
29.04.2024
04.07.2024",2022-11-15,2023-07-25
172,M-0221A,CAMLOCK MICROMETER SETTING STANDARD,GAGE MAKER,"0"" - 4""",IA01DB0026,QCD/TRSG/PROCEDURE 005 /  TRSG/QM/001/20,BS 1734 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2021-07-31,1,Years,2022-07-31,TRESCAL,SALDM/1034/2/21,M/S GAUGE ROOM F2,FALSE,,,,,2022-11-15,2022-07-17
173,M-0222,CAMLOCK MICROMETER,GAGE MAKER,"3"" - 4""",AL01DB00011,MP-DIM-01 (T) REV:0,BS 1734 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2022-08-08,1,Years,2023-08-08,CALTEK,CTJ22-5234 / MD 3346M-22,M/S GAUGE ROOM F3,TRUE,,"3010
3011
LL002666
010109","SG 3372
SG 3375
MDL221185-1
OPC2205-0472-1/2","22.06.2025
22.06.2025
29.04.2024
04.07.2024",2022-11-15,2023-07-25
174,M-0222A,CAMLOCK MICROMETER SETTING STANDARD,GAGE MAKER,"4""",A142889,QCD/TRSG/PROCEDURE 005 /  TRSG/QM/001/20,BS 1734 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2021-07-31,1,Years,2022-07-31,TRESCAL,SALDM/1034/3/21,M/S GAUGE ROOM F3,FALSE,,,,,2022-11-15,2022-07-17
175,M-0227,STEEL GAUGE BLOCK (SLIP GAUGE),MITUTOYO,"0.05"" - 4""",1400144,QCD/TRSG/PROCEDURE 019 /  TRSG/QM/001/20,BS 4311-1:OR PER MANUFACTURER SPECIFICATION,2022-11-20,3,Years,2023-02-20,TRESCAL,SALDM/0196/7/22,M/S GAUGE ROOM B2,TRUE,,,,,2022-11-15,2023-02-06
176,M-0228,DIAL GAUGE,GAGE MAKER,"O"" - 0.5"" ",SLF577,QCD/TRSG/PROCEDURE 011 /  TRSG/QM/001/20,BS 907 / ASME B89.1.10M OR PER MANUFACTURER SPECIFICATION,2021-09-27,1,Years,2022-09-27,TRESCAL,SALDM/1356/1/21,M/S GAUGE ROOM A2,FALSE,,,,,2022-11-15,2022-09-13
177,M-0229,DIGITAL VERNIER CALIPER,MITUTOYO,"0"" - 60""",0000041,QCD/TRSG/PROCEDURE 008 /  TRSG/QM/001/20,BS 887 / JIS B 7507 OR PER MANUFACTURER SPECIFICATION,2021-09-27,1,Years,2022-09-27,TRESCAL,SALDM/1356/3/21,MPI BOOTH BAY C WORKING TABLE,FALSE,,,,,2022-11-15,2022-09-13
178,M-0235,"PLUG GAUGE 
(GO & NO GO)",GAGE MAKER,1-5/16 - 12 UN - 2B,1,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-14,M/S GAUGE ROOM H1,TRUE,,,,,2022-11-15,2022-12-22
179,M-0237,DIAL TEST INDICATOR,MITUTOYO,"0"" - 0.03""",RTZ298,QCD/TRSG/PROCEDURE 012 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M-2001 / PER MANUFACTURER SPECIFICATION,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/19/22,M/S GAUGE ROOM,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-04-16
180,M-0238,STICK MICROMETER,MITUTOYO," ID 2"" - 20""",1009965 / 3010880,QCD/TRSG/PROCEDURE 006 / TRSG/QM/001/20 / BS 959 : 2008,BS 959 : 2008 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/34/22,QC GAUGE ROOM OUT SIDE,TRUE,,"1306618
0284
18640
309673
AMNW24","14489
3562520006
SALDM/1010/2/21
SALDM/0036/13/22
SALDM/0036/13/22","24.11.2022
20.05.2023
11.08.2023
07.01.2023
07.01.2023",2022-11-15,2023-04-16
181,M-0242,DIAL CALIPER,MITUTOYO,"0"" - 12""",14506818,QCD/TRSG/PROCEDURE 008 / TRSG/QM/001/20 / JIS B 7507:2016,"±0.0016"" / 
 BS 887 / JIS B 7507 OR PER MANUFACTURER SPEC",2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/16/22,QC GAUGE ROOM OUT SIDE,TRUE,,"186640
1510008
SML/PG-in/001","SALDM/1010/2/21
SALDM/1681/2/21
SALDM/1883/2/22","11.08.2023
03.11.2022
22.11.2022",2022-11-15,2023-04-16
182,M-0243,DEPTH MICROMETER,MITUTOYO,"0"" - 12""",404264,QCD/TRSG/PROCEDURE 007 / TRSG/QM/001/20 / BS 6468:2008,BS 6468 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/38/22,Machine Shop (VTCA2),TRUE,,"1306618
18640
T22349
309673","14489
SALDM/1010/2/21
SALDM/2107/2/21
SALDM/0036/13/22","24.11.2022
11.08.2023
17.12.2022
07.01.2023",2022-11-15,2023-04-16
183,M-0247,DIAL INDICATOR,MITUTOYO,"0"" - 0.5""",VJR207,QCD/TRSG/PROCEDURE 011/ TRSG/QM/001/20 / ASME B89.1.10M-2001,± 0.02 mm / 0.05 mm,2022-05-04,1,Years,2023-05-04,TRESCAL,SALDM/0699/4/22,Machine Shop (VTCB3),TRUE,,1471/03,MTO210721-1R,27.07.2022,2022-11-15,2023-04-20
184,M-0250,DIAL GAUGE,MITUTOYO, 0'' - 0.5'',VJR218,QCD/TRSG/PROCEDURE 011 /  TRSG/QM/001/20,BS 907 / ASME B89.1.10M OR PER MANUFACTURER SPECIFICATION,2022-07-15,1,Years,2023-07-15,TRESCAL,SALDM/1087/9/22,QC GAUGE ROOM OUT SIDE,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,,2023-07-01
185,M-0256,PLUG GAUGE,GAGE MAKER,"1/2"" - 14 NPT",-,"QCD/TRSG/PROCEDURE 030 / TRSG/QM/001/20 / 
ANSI/ASME B1.20.5-1991","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-07-07,1,Years,2023-07-07,TRESCAL,SALDM/0826/14/22,QC GAUGE ROOM - I,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-06-23
186,M-0261,DIAL CALIPER,MITUTOYO,"0"" - 12""",13525969,MDCP-02:2020,BS 887 / JIS B 7507 OR PER MANUFACTURER SPECIFICATION,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-4,Machine Shop (VTCA1),FALSE,,,,,2022-11-15,2022-09-30
187,M-0264,DIGIMATIC DEPTH GAUGE,MITUTOYO,0 - 12.7 MM,13146943/003116,QCD/TRSG/SEAMS-0017 / TRSG/QM/001/20 / BS EN ISO 13385-2:2011,BS 6365 / PER MANUFACTURER SPECIFICATION,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM0675/22/22,M/S GAUGE ROOM J2,TRUE,,,,,2022-11-15,2023-04-16
188,M-0265,DIGITAL DEPTH CALIPER,MITUTOYO,"0"" - 18""",0004498,MDCP-08:2020,BS 6365 OR PER MANUFACTURER SPECIFICATION,2021-12-16,1,Years,2022-12-16,Ming Deng,MDL213871-3,M/S GAUGE ROOM J3,TRUE,,,,,2022-11-15,2022-12-02
189,M-0267,DIAL INDICATOR,MITUTOYO, 0'' - 1'',YAC 654,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M-2001 OR PER MANUFACTURER SPECIFICATION,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/12/22,QC GAUGE ROOM OUT SIDE,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-04-16
190,M-0268,DIAL INDICATOR,MITUTOYO, 0'' - 1'',YAC 656,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M-2001 OR PER MANUFACTURER SPECIFICATION,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/12/22,QC GAUGE ROOM OUT SIDE,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-04-16
191,M-0269,DIAL INDICATOR,MITUTOYO, 0'' - 1'',XZH 494,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M-2001 OR PER MANUFACTURER SPECIFICATION,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/13/22,GAUGE ROOM OUTSIDE,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-04-16
192,M-0270,DIAL INDICATOR,MITUTOYO, 0'' - 1'',XZH 496,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20 / ASME B89.1.10M-2001,ASME B89.1.10M-2001 OR PER MANUFACTURER SPECIFICATION,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/14/22,QC GAUGE ROOM OUT SIDE,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-04-16
193,M-0274,PLUG GAUGE,THREADMASTER,"3/4"" - 14 NPT L1",173714,"QCD/TRSG/PROCEDURE 030 / TRSG/QM/001/20 / 
ANSI/ASME B1.20.5-1991","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-09,1,Years,2023-05-09,TRESCAL,SALDM/0699/19/22,M/S GAUGE ROOM H34,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-25
194,M-0277,INTERNAL PITCH DIAMETER GAUGE (PD-6000),GAGEMAKER,"0 - 0.5""",YQY269 / RT19FF004,"QCD/TRSG/PROCEDURE 030 / TRSG/QM/001/20 / 
ASME/ANSI B89.1.10M",ASME/ANSI B89.1.10M,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/6/22,M/S GAUGE ROOM L2,TRUE,,1471/03 (OPTIMAR 100),MTO210721-1R,27.07.2022,2022-11-15,2023-08-19
195,M-0282,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1-1/8"" - 8 UN - 2B",184694,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-09-16,1,Years,2023-09-16,TRESCAL,SALDM/1496/4/22,QC BAY C CABINET 1 L3,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-09-02
196,M-0283,GROOVE MICROMETER,MITUTOYO," 0"" - 1""",30538,QCD/TRSG/PROCEDURE 005 / TRSG/QM/001/20,BS 870 OR PER MANUFACTURER SPECIFICATION,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/2/22,M/S GAUGE ROOM J6,TRUE,,,,,2022-11-15,2023-08-19
197,M-0287,CAMERON BALL GAUGE,GAGE MAKER,"1/2"" WITH 12"" LENGTH ROD",24 UU,QCD/TRSG/PROCEDURE 001 / TRSG/QM/001/20,"BALL DIAMETER TOLERANCE +0.0002""
CENTRELINE TO BASE TOLERANCE +0.0002""
PARALLESLISM OF BASE AND CENTRELINE OF 0.500""
DIAMETER HOLE MUST NOT EXCEED 0.0002""",2022-05-28,1,Years,2023-05-28,TRESCAL,SALDM/0131/1/22,M/S GAUGE ROOM I5,TRUE,,65002785,SALDM/0036/2/21,05.01.2023,2022-11-15,2023-05-14
198,M-0288,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"2-3/4"" - 8 UN - 2B",186365,QCD/TRSG/PROCEDURE 014 /  TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-27,1,Years,2022-12-27,TRESCAL,SALDM/2184/5/21,M/S GAUGE ROOM H10,TRUE,,,,,2022-11-15,2022-12-13
199,M-0289,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1-1/2"" - 8 UN - 2B",186376,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-10-15,1,Years,2022-10-15,Ming Deng,MDL213165-3,QC GAUGE ROOM - D,FALSE,,,,,2022-11-15,2022-10-01
200,M-0290,BALL GAUGE,CAMERON,"1/2"" WITH 12"" LENGTH ROD",-,QCD/TRSG/PROCEDURE 006 / TRSG/QM/001/20 / BS 959 : 2008,BS 959 : 2008 OR PER MANUFACTURER SPEC,2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/30/22,M/S GAUGE ROOM I7,TRUE,,"18640
65002785","SALDM/1010/2/21
SALDM/0036/2/21","11.08.2022
05.01.2023",2022-11-15,2023-04-16
201,M-0294,DIAL CALIPER,MITUTOYO,"0 - 12""",18597574,QCD/TRSG/PROCEDURE 008 / TRSG/QM/001/20 / JIS B 7507:2016,"±0.0016"" / 
 BS 887 / JIS B 7507 OR PER MANUFACTURER SPEC",2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0675/15/22,Machine Shop (HBMB1),TRUE,,"186640
1510008
SML/PG-in/001","SALDM/1010/2/21
SALDM/1681/2/21
SALDM/1883/2/22","11.08.2023
03.11.2022
22.11.2022",2022-11-15,2023-04-16
202,M-0297,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1-1/2"" - 6 UNC - 2B",191493,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/56/22,M/S GAUGE ROOM H6,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
203,M-0298 & M-0298A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"4"" - 8 UN - 2B",200405,QCD/TRSG/PROCEDURE 014 /  TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-09-30,1,Years,2022-09-30,TRESCAL,SALDM/1356/5/21,M/S GAUGE ROOM C4 & C5,FALSE,,,,,2022-11-15,2022-09-16
204,M-0299 & M-0299A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"5-1/4"" - 4 STUB ACME - 2G",200421,QCD/TRSG/PROCEDURE 014 /  TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-09-30,1,Years,2022-09-30,TRESCAL,SALDM/0285/3/21,M/S GAUGE ROOM D3 & D4,FALSE,,,,,2022-11-15,2022-09-16
205,M-0300 & M-0300A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"5-1/4"" - 4 ACME - 2G",144798 & 200422,QCD/TRSG/PROCEDURE 014 /  TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-08,1,Years,2022-11-08,TRESCAL,SALDM/0322/5/21,M/S GAUGE ROOM D5 & D6,FALSE,NOT REQUIRED CALIBRATION,,,,2022-11-15,2022-10-25
